,Nom_Resto,Type_Cuisine,Type_Repas,Arrondissement
52,Le jardin du Kashmir,"Végétariens bienvenus, Choix végétaliens, Halal","Déjeuner, Dîner, Ouvert tard",75017
53,24 Le Restaurant,"Française, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75008
54,LES EPICIERS,"Européenne, Bar à vins","Boissons, Dîner",75003
55,Patchanka,"Barbecue/Grillades, Argentine, Sud-américaine, Latino","Végétariens bienvenus, Plats sans gluten",75011
56,L'Archeste,"Française, Européenne","Déjeuner, Dîner",79
57,Mian Fan,"Chinoise, Japonaise, Asiatique, Coréenne, Fusion, Thaï, Vietnamienne, Saine","Végétariens bienvenus, Choix végétaliens",75002
58,L’Innocence,Française,"Déjeuner, Dîner",75009
59,Cook' n Saj,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner",75006
60,Alliance,"Française, Saine","Végétariens bienvenus, Choix végétaliens",75005
61,Marche Ou Crêpe,"Française, Européenne","Végétariens bienvenus, Choix végétaliens",75020
62,Source Infinie,"Française, Bar à vins, Brasserie gastronomique, Saine, Bars-restaurants","Déjeuner, Dîner, Boissons",75009
63,India StreEAT,"Indienne, Saine, Cuisine de rue (street food)","Végétariens bienvenus, Choix végétaliens",05
64,Le vent d'Armor,"Française, Fruits de mer & Poisson, Européenne, Saine",Plats sans gluten,75005
65,Madito,Végétariens bienvenus,"Déjeuner, Dîner",75011
66,Chez Ajia,"Asiatique, Taïwanaise","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75004
67,Pastamore,"Italienne, Saine","Végétariens bienvenus, Choix végétaliens",75006
68,LA TRATTORIA DELL'ISOLA,"Italienne, Pizza, Fruits de mer & Poisson, Européenne, Sarde, Italie du Sud","Végétariens bienvenus, Choix végétaliens",75009
69,Restaurant Mumi,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",75001
70,Bar Italia Brasserie,"Italienne, Méditerranéenne, Saine","Végétariens bienvenus, Choix végétaliens",75009
71,L'Orangerie - Four Seasons Hotel George V,"Française, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75008
72,XV Burger,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",79
73,Le Bistrot d'Yves,"Française, Européenne, Saine","Végétariens bienvenus, Choix végétaliens",75017
74,La Veraison,"Française, Saine, Fusion",Végétariens bienvenus,75015
75,La Grange Aux Canards,Française,"Déjeuner, Dîner, Boissons",75005
76,Joyti Restaurant,Indienne,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75015
77,Restaurant H,"Française, Européenne",Plats sans gluten,75004
78,Picotte,"Française, Européenne, Saine",Végétariens bienvenus,75011
79,Wine Therapy,"Française, Bar à vins, Européenne","Déjeuner, Dîner, Boissons",75009
80,L'Arcane,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner",52
81,Can Alegria Paris,"Française, Méditerranéenne, Européenne, Saine","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",73
82,Midi 12,"Française, Européenne, Saine","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75009
83,Gegeor,"Française, Européenne",Végétariens bienvenus,75009
84,AlKaram,"Libanaise, Méditerranéenne, Saine, Moyen-Orient","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75015
85,1000 & 1 Signes,"Marocaine, Moyen-Orient","Végétariens bienvenus, Choix végétaliens, Halal",76
86,Chez Cleopatre,"Turque, Cuisine de rue (street food)","Végétariens bienvenus, Choix végétaliens, Halal",75009
87,Sacrée fleur,"Française, Steakhouse, Européenne","Déjeuner, Dîner",50
88,Savarin la Table,"Française, Moderne","Déjeuner, Dîner",75007
89,Oinari Paris,"Japonaise, Fusion japonaise","Végétariens bienvenus, Choix végétaliens",75009
90,Tra di Noi Vasco De Gama,"Italienne, Méditerranéenne, Sicilienne, Italie du Sud","Déjeuner, Dîner, Boissons",75015
91,Mian Fan,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75014
92,Restaurant L'INITIAL,"Française, Européenne",Plats sans gluten,75005
93,Cezembre,"Française, Européenne, Saine","Déjeuner, Dîner",75006
94,Hebe,"Française, Méditerranéenne, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75005
95,Savannah Cafe,"Libanaise, Méditerranéenne, Moyen-Orient","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75005
96,La Pause Libanaise,"Libanaise, Méditerranéenne, Saine, Moyen-Orient","Végétariens bienvenus, Choix végétaliens",75008
97,Seb'on,"Déjeuner, Dîner","Réservations, Places assises, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75018
98,Tadam Paris,Française,Végétariens bienvenus,75013
99,Desvouges,Brasserie gastronomique,Végétariens bienvenus,75005
100,Le Bélisaire,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75015
101,Supernova,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Boissons",75003
102,La Crete,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75005
103,Le Cinq,"Française, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75008
104,The Frog Revolution,"Américaine, Bar, Pub, Bar à bières",Végétariens bienvenus,75004
105,Comptoir Gourmet,"Italienne, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",51
106,La Table d'Hami,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner",75005
107,Flesh Restaurant Pigalle,Plats sans gluten,"Déjeuner, Dîner, Ouvert tard",75009
108,La Réserve des Initiés,"Française, Brasserie gastronomique, Diner, Bar à vins, Bars-restaurants",Végétariens bienvenus,75011
109,Les Freres Bretons,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",75015
110,A-TABLE,"Moyen-Orient, Perse, Arménienne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75020
111,Le Cherine,"Libanaise, Méditerranéenne, Moyen-Orient, Grillades","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",74
112,Zia,"Française, Américaine, Café","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75007
113,Flesh Restaurant Canal Saint Martin,"Barbecue/Grillades, Steakhouse, Grillades",Plats sans gluten,75010
114,L'Hommage,"Française, Européenne, Moderne",Végétariens bienvenus,75013
115,Restaurant OXTE,"Déjeuner, Dîner","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75017
116,Jimmy 2 Fois,"Italienne, Pizza, Méditerranéenne, Européenne","Végétariens bienvenus, Choix végétaliens",75018
117,RHINO ROUGE,"Barbecue/Grillades, Américaine, Steakhouse, Sud-Ouest américain, Cuisine de rue (street food)","Déjeuner, Dîner",75012
118,Bistrot Rougemont,"Déjeuner, Dîner","Réservations, Places assises, Sert de l'alcool, Bar complet, Accepte les cartes bancaires, Service de table",75009
119,Le Perraudin,Française,"Végétariens bienvenus, Plats sans gluten",57
120,Restaurant Biscotte,"Française, Saine, Internationale, Moderne, Brasserie gastronomique","Végétariens bienvenus, Plats sans gluten",75015
121,Pop's,"Italienne, Française, Pizza, Saine, Méditerranéenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75016
122,Buddha Restaurant,"Indienne, Saine, Népalaise","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75013
123,La Bossue,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Petit déjeuner, Déjeuner, Brunch",75018
124,Buzkashi,"Moyen-Orient, Perse, Afghane","Végétariens bienvenus, Choix végétaliens, Halal",75017
125,Chez Gabrielle,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75017
126,Johana's FISH & CHIPS,"Déjeuner, Dîner","Service de livraison, Plats à emporter, Places assises, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75002
127,Publisher,"Française, Irlandaise, Bar, Européenne, Pub, Britannique",Végétariens bienvenus,75008
128,Sarté Restaurant,"Française, Saine, Moderne, Pub, Brasserie gastronomique, Bars-restaurants","Déjeuner, Dîner, Ouvert tard, Boissons",75018
129,Arnaud Nicolas,"Française, Européenne, Traiteur, Brasserie gastronomique","Déjeuner, Dîner",75007
130,Le Gabriel,"Française, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75008
131,Oplato,"Française, Européenne, Bar à vins","Végétariens bienvenus, Choix végétaliens",75011
132,La Bécane À Gaston,"Française, Européenne",Végétariens bienvenus,75010
133,Happy Caffe,"Végétariens bienvenus, Choix végétaliens","Dîner, Petit déjeuner, Déjeuner, Brunch, Ouvert tard, Boissons",75001
134,Le Bistrot d'Indochine,"Asiatique, Vietnamienne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75015
135,Les Crêpes de Louis-Marie,"Française, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75005
136,L'Atelier Saisonnier - Paris 9e,"Française, Saine",Végétariens bienvenus,58
137,Restaurant eels,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner",75010
138,Restaurant Gastronomique Louis,Végétariens bienvenus,"Déjeuner, Dîner",75009
139,Petite fleur,"Française, Européenne","Déjeuner, Dîner",75018
140,Le 217 Brasserie Restaurant,"Française, Européenne, Saine",Végétariens bienvenus,75012
141,Les Passagers de Beyrouth,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75011
142,Les Canailles,"Déjeuner, Dîner, Ouvert tard","Réservations, Places assises, Accès personnes handicapées, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75009
143,JJ Restaurant,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75008
144,TRADI,"Moderne, Française","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75002
145,MARCLEE,"Coréenne, Japonaise, Asiatique, Thaï, Saine, Fusion","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75009
146,Jackpot,"Française, Européenne, Saine","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75003
147,Les Cuivres,"Française, Méditerranéenne",Végétariens bienvenus,75011
148,FOODI Jia-Ba-Buay,"Asiatique, Taïwanaise","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75002
149,Chez Arnaud,"Italienne, Française, Européenne, Saine","Végétariens bienvenus, Choix végétaliens",75019
150,"Respiro, Trattoria - Pizzeria","Italienne, Pizza, Méditerranéenne, Sicilienne, Italie du Sud",Végétariens bienvenus,75005
151,Le Reciproque,"Française, Européenne, Moderne",Végétariens bienvenus,75018
152,La Bonne Excuse,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner",75007
153,Casa Festa,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75001
154,L'Annexe,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner",75018
155,Ristorante Al Caratello,"Italienne, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75018
156,Le Confidentiel,"Française, Européenne",Halal,75008
157,Olive & Thym - Par Man'ouché,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75004
158,Bustronome PARIS,"Française, Internationale, Européenne, Moderne, Saine","Végétariens bienvenus, Choix végétaliens",75116
159,Le Lamarck,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75018
160,Royal Dragon,"Chinoise, Japonaise, Asiatique, Vietnamienne","Végétariens bienvenus, Choix végétaliens",75014
161,Gemini Odéon,"Italienne, Napolitaine, Campanie, Toscane, Romana, Latium, Sicilienne, Italie du Centre, Italie du Sud","Déjeuner, Dîner",75006
162,Chào bà,"Asiatique, Vietnamienne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75013
163,Sourire Le Restaurant,"Française, Européenne, Moderne","Déjeuner, Dîner",75013
164,Papa Poule,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75011
165,Grains Nobles et Plus,"Française, Européenne, Bar à vins","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75005
166,L'Arôme,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",75008
167,Aux Délices du Liban,"Libanaise, Méditerranéenne, Moyen-Orient","Végétariens bienvenus, Choix végétaliens",75005
168,Le 975,"Française, Européenne","Déjeuner, Dîner",75017
169,L'Acolyte de L'Insolite,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",75011
170,La Trattoria Di Gio,"Italienne, Méditerranéenne, Européenne","Végétariens bienvenus, Choix végétaliens",75001
171,Mamie Bidoche,"Française, Saine, Grillades","Déjeuner, Dîner, Ouvert tard, Boissons",75011
172,"L'Entente, Le British Brasserie","Britannique, Saine, Brasserie gastronomique","Végétariens bienvenus, Plats sans gluten",75002
173,Phebe,"Française, Européenne","Végétariens bienvenus, Choix végétaliens",75017
174,Redd,"Française, Bar à vins, Européenne",Végétariens bienvenus,75002
175,Restaurant Friends & Family,"Française, Européenne","Végétariens bienvenus, Choix végétaliens",75009
176,Il Pomod'oro,"Italienne, Pizza, Saine, Napolitaine, Campanie, Romana, Latium, Sicilienne, Italie du Centre, Italie du Sud","Végétariens bienvenus, Choix végétaliens",75005
177,"Le Bon, La Butte",Française,Végétariens bienvenus,02
178,Ze Kitchen Galerie,"Française, Européenne, Moderne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75006
179,Huîtres et Saumons de Passy,"Française, Fruits de mer & Poisson, Européenne",Végétariens bienvenus,75016
180,Assanabel,"Libanaise, Méditerranéenne, Saine, Moyen-Orient","Végétariens bienvenus, Choix végétaliens, Halal, Plats sans gluten",75010
181,Le Florimond,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75007
182,Virtus,"Française, Européenne, Moderne, Brasserie gastronomique","Déjeuner, Dîner",75012
183,Le Goyavier,Cajun & Créole,"Dîner, Ouvert tard",75011
184,Le Gros 7,"Méditerranéenne, Européenne",Végétariens bienvenus,75016
185,Pane olio e pomodoro,"Italienne, Méditerranéenne, Européenne, Romana, Latium, Sarde, Italie du Centre, Italie du Sud","Végétariens bienvenus, Choix végétaliens",75011
186,La Petite Rose des Sables,"Française, Européenne, Saine",Végétariens bienvenus,75010
187,Bodega Potxolo,"Française, Méditerranéenne, Européenne, Espagnole","Déjeuner, Dîner",75011
188,Restaurant La Pie Noir,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",75005
189,Le Clos Y,"Française, Japonaise, Européenne, Asiatique, Saine","Végétariens bienvenus, Plats sans gluten",75015
190,Le Cabanon de la Butte,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner",75018
191,Frog & Rosbif,"Bar, Britannique, Pub, Bar à bières",Végétariens bienvenus,75002
192,Le Vieux Bistrot,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",54
193,Sathees,"Saine, Soupes, Café, Internationale, Fusion","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75006
194,Loubnane,"Libanaise, Saine","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75005
195,Restaurant du Palais Royal,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",75001
196,Invictus,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",75006
197,La Crepe Rit Du Clown,"Française, Européenne, Saine","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75006
198,chez delphine,"Française, Européenne",Végétariens bienvenus,75009
199,Joe Burger,Végétariens bienvenus,"Déjeuner, Dîner",75005
200,Chez Trassoudaine,"Déjeuner, Dîner, Brunch, Ouvert tard","Réservations, Salle privée, Places assises, Chaises hautes disponibles, Accès personnes handicapées, Sert de l'alcool, Bar complet, Accepte les cartes bancaires, Service de table",75013
201,Don Giovanni,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75004
202,Couscous Maison Arc en Ciel,Bars-restaurants,"Végétariens bienvenus, Choix végétaliens, Halal",75013
203,Lorette & Les Garçons,Française,"Déjeuner, Dîner, Boissons",75009
204,Tour d'Argent,Française,Végétariens bienvenus,75005
205,In Bocca al lupo,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75018
206,Pierre Gagnaire,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75008
207,CHANG,"Bar, Asiatique, Thaï, Fusion, Saine","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75001
208,L'Aubergeade,Végétariens bienvenus,"Déjeuner, Dîner, Ouvert tard",75012
209,Papelli,"Pizza, Italienne, Européenne","Végétariens bienvenus, Choix végétaliens",75010
210,Les Tables d'Augustin,"Française, Européenne, Moderne, Saine, Brasserie gastronomique","Déjeuner, Dîner",75017
211,Pages,"Française, Moderne, Européenne",Végétariens bienvenus,75116
212,Le Petit Amalfi,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner, Ouvert tard",75008
213,Jeongane,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75015
214,Le Sâotico,"Brasserie gastronomique, Française, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75002
215,Chez Toinette,"Française, Européenne","Déjeuner, Dîner, Ouvert tard",75018
216,La Boite Aux Lettres,"Française, Européenne, Saine","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",08
217,Papi Henri,"Française, Européenne",Végétariens bienvenus,75017
218,Bien Ficelé,"Française, Européenne, Grillades, Barbecue/Grillades","Déjeuner, Dîner, Brunch, Ouvert tard, Boissons",51
219,Restaurant Japonais La Marina,"Japonaise, Sushi, Asiatique, Grillades, Fusion japonaise","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75002
220,Aux 2 Saveurs,Française,"Végétariens bienvenus, Choix végétaliens",75012
221,La Verrière Paris,"Française, Japonaise, Européenne, Moderne","Petit déjeuner, Déjeuner, Dîner, Brunch, Boissons",75014
222,Cantina Chic,"Italienne, Méditerranéenne, Européenne, Toscane, Romana, Latium, Italie du Centre","Végétariens bienvenus, Choix végétaliens",75017
223,Mobster Diner,"Américaine, Restauration rapide, Internationale","Déjeuner, Dîner, Boissons",75005
224,Crêperie Mad'eo,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75015
225,Comme à La Campagne,Française,Végétariens bienvenus,75013
226,Substance,"Française, Européenne, Saine","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75116
227,La Scène Thélème,"Fusion, Française, Européenne, Moderne, Saine","Végétariens bienvenus, Plats sans gluten",75017
228,Le Petit Champerret,"Déjeuner, Dîner","Réservations, Terrasse, Places assises, Accès personnes handicapées, Sert de l'alcool, Service de table",75017
229,Les Trublions,"Française, Européenne, Moderne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75005
230,Chez Pippo,"Italienne, Pizza, Méditerranéenne, Napolitaine, Campanie, Toscane, Romana, Latium, Italie du Centre","Végétariens bienvenus, Plats sans gluten",75007
231,Pizzeria Mancini,"Italienne, Pizza, Européenne","Végétariens bienvenus, Choix végétaliens",75018
232,Restaurant Mariette,"Française, Européenne, Saine","Végétariens bienvenus, Plats sans gluten",75007
233,Neige d'été,"Déjeuner, Dîner","Réservations, Salle privée, Places assises, Accès personnes handicapées, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75015
234,Le Bouclard,"Française, Européenne",Végétariens bienvenus,75018
235,Kitchen Galerie Bis,"Française, Européenne, Fusion",Choix végétaliens,75006
236,La Grande Ourse,"Déjeuner, Dîner","Réservations, Terrasse, Places assises, Accès personnes handicapées, Sert de l'alcool, Accepte les cartes bancaires, Service de table",75014
237,La Vache et Le Cuisinier,"Végétariens bienvenus, Plats sans gluten","Déjeuner, Dîner, Ouvert tard",75018
238,Chez Marcel,"Française, Saine","Déjeuner, Dîner, Ouvert tard",75006
239,Restaurant Pilgrim,"Française, Européenne","Déjeuner, Dîner",75015
240,Restaurant Étude,Française,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75116
241,le petit canard,"Française, Européenne","Déjeuner, Dîner, Ouvert tard",75009
242,La Vie d'Ange,"Française, Européenne",Végétariens bienvenus,75014
243,Au P'tit Zinc,Végétariens bienvenus,"Petit déjeuner, Déjeuner, Dîner, Ouvert tard, Boissons",74
244,Baffo,"Italienne, Méditerranéenne, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75004
245,Bears & Raccoons,"Végétariens bienvenus, Choix végétaliens, Plats sans gluten","Déjeuner, Boissons",75011
246,A modo mio,"Italienne, Pizza, Méditerranéenne, Européenne, Napolitaine, Campanie, Toscane, Italie du Centre, Italie du Sud",Végétariens bienvenus,75004
247,Bistrot Chez France,Française,"Végétariens bienvenus, Plats sans gluten",75007
248,Le Poulbot,"Française, Européenne","Végétariens bienvenus, Plats sans gluten",75018
249,Il Padrino,Végétariens bienvenus,"Dîner, Déjeuner, Ouvert tard",75018
250,L'Accolade,Végétariens bienvenus,"Déjeuner, Dîner",08
251,Soul Kitchen - FERMÉ,"Choix végétaliens, Plats sans gluten","Petit déjeuner, Brunch, Déjeuner, Boissons",75018
252,Habesha,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75015
253,Le Baron Rouge,"Française, Bar à vins","Déjeuner, Boissons",75012
254,Le Sanglier Bleu,"Française, Européenne, Brasserie gastronomique",Végétariens bienvenus,02
255,,,,
256,Restaurant Chinois Di-Choulie A Paris,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75013
257,Lao Chaleune,"Végétariens bienvenus, Choix végétaliens","Déjeuner, Dîner",75013
258,RESTAURANT DE LA CORDONNERIE,"Française, Européenne","Déjeuner, Dîner",75001
259,Le Clarence,"Diner, Française, Européenne, Moderne","Végétariens bienvenus, Plats sans gluten",75008
260,Restaurant de la Tour,"Française, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",75015
261,L'Envie du Jour,"Française, Européenne","Végétariens bienvenus, Choix végétaliens, Plats sans gluten",06
262,The Frog at Bercy Village,Pub,Végétariens bienvenus,75012
